Disease,Symptoms,Severity,Recommended_Treatment,Precautions,Description
COVID-19,"dry cough, shortness of breath, sore throat, loss of smell, fever, loss of taste",Moderate,"Rest, isolation, monitoring oxygen levels, supportive care, seek medical attention if breathing difficulty","Vaccination, mask wearing, social distancing, hand hygiene, avoid crowded indoor spaces","Coronavirus disease caused by SARS-CoV-2, ranging from mild to severe respiratory illness."
Appendicitis,"severe abdominal pain (lower right), loss of appetite, abdominal bloating, fever, occasional nausea, constipation, vomiting",Mild,"Emergency appendectomy (surgical removal), IV antibiotics, pain management, nil per os until surgery","Seek immediate medical attention if sudden severe abdominal pain, do not delay, no home remedies","Inflammation of the appendix, a medical emergency requiring prompt surgical removal."
Jaundice,"confusion, yellow eyes, intense dark urine, pale stools, intense abdominal pain, yellow skin",Severe,"Treat underlying cause, phototherapy for newborns, medications, liver transplant if severe liver failure","Hepatitis vaccination, avoid alcohol, maintain healthy weight, avoid hepatotoxic medications, regular liver tests","Yellow discoloration of skin and eyes caused by high bilirubin levels, a symptom of underlying liver or blood disorder."
Hypertension,"nosebleeds, chest pain, dizziness, vision problems, flushing, headache, shortness of breath",Moderate,"ACE inhibitors, ARBs, calcium channel blockers, lifestyle changes, regular BP monitoring, reduce salt intake","Low sodium diet, regular exercise, weight management, limit alcohol, stress management, regular checkups",High blood pressure that can lead to severe health complications if not managed properly.
Hepatitis B,"occasional loss of appetite, mild vomiting, mild fatigue, mild jaundice, dark urine",Mild,"Antiviral medications (tenofovir, entecavir), regular monitoring, liver function tests, consider liver transplant if cirrhosis","Hepatitis B vaccination, safe sex practices, avoid sharing needles, screen blood products, regular liver checks","Viral liver infection transmitted through blood and bodily fluids, can become chronic and lead to cirrhosis."
Flu,"chills, fatigue, persistent cough, worsening body aches",Severe,"Rest, antiviral medications (oseltamivir if early), acetaminophen/ibuprofen, fluids, isolation","Annual flu vaccination, hand hygiene, avoid crowds during outbreaks, mask if coughing","Influenza is a contagious respiratory illness caused by influenza viruses, more severe than common cold."
Dengue,"pain behind eyes, nausea, joint pain, muscle pain, high fever, severe headache, rash",Moderate,"Supportive care, acetaminophen, hydration, avoid NSAIDs, hospitalization if severe dengue","Avoid mosquito bites, use repellents, wear protective clothing, remove standing water, screen windows","Mosquito-borne viral infection causing fever and severe joint/muscle pain, can develop into severe dengue."
Food Poisoning,"fever, headache, dehydration, stomach cramps, nausea, vomiting, weakness",Moderate,"Rest, oral rehydration, avoid solid food initially, gradual return to bland diet, seek care if severe","Proper food handling, cook meat thoroughly, refrigerate promptly, avoid cross-contamination, check expiry dates","Illness caused by eating contaminated food or drink, symptoms typically appear within hours to days."
Jaundice,"fever, itching, pale stools, abdominal pain, dark urine, yellow eyes, weight loss",Moderate,"Treat underlying cause, phototherapy for newborns, medications, liver transplant if severe liver failure","Hepatitis vaccination, avoid alcohol, maintain healthy weight, avoid hepatotoxic medications, regular liver tests","Yellow discoloration of skin and eyes caused by high bilirubin levels, a symptom of underlying liver or blood disorder."
Hepatitis C,"bleeding easily, fatigue, fluid buildup in abdomen, spider-like blood vessels, persistent confusion",Severe,"Direct-acting antivirals (sofosbuvir, glecaprevir), 8-12 week treatment, regular liver monitoring","Avoid sharing needles, safe sex practices, blood screening, no vaccine available, avoid alcohol","Viral infection causing liver inflammation, often chronic, now highly curable with modern antivirals."
Hepatitis A,"low-grade fever, abdominal pain, mild dark urine",Mild,"Rest, hydration, avoid alcohol, nutritious diet, monitor liver function, supportive care only","Hepatitis A vaccination, safe food and water practices, hand hygiene, avoid contaminated shellfish","Viral liver infection spread through contaminated food/water, usually self-limiting with lifelong immunity."
Diabetes,"persistent unexplained weight loss, blurred vision, worsening numbness in extremities, frequent urination",Severe,"Blood glucose monitoring, insulin or oral hypoglycemics, diet management, regular exercise, endocrinologist follow-up","Regular blood sugar monitoring, balanced diet, avoid sugary foods, regular exercise, foot care","Chronic condition affecting how the body processes blood sugar (glucose), Type 1 or Type 2."
COVID-19,"fatigue, fever, dry cough",Severe,"Rest, isolation, monitoring oxygen levels, supportive care, seek medical attention if breathing difficulty","Vaccination, mask wearing, social distancing, hand hygiene, avoid crowded indoor spaces","Coronavirus disease caused by SARS-CoV-2, ranging from mild to severe respiratory illness."
Gastroenteritis,"worsening diarrhea, severe mild fever, intense dehydration, worsening nausea, stomach cramps, vomiting, loss of appetite",Severe,"Oral rehydration solution, rest, bland diet (BRAT), antiemetics if needed, antibiotics if bacterial","Hand washing, safe food preparation, drink clean water, avoid contaminated food, proper food storage","Inflammation of the stomach and intestines causing diarrhea and vomiting, often viral (stomach flu)."
Flu,"sore throat, body aches, weakness, high fever, chills, severe fatigue",Severe,"Rest, antiviral medications (oseltamivir if early), acetaminophen/ibuprofen, fluids, isolation","Annual flu vaccination, hand hygiene, avoid crowds during outbreaks, mask if coughing","Influenza is a contagious respiratory illness caused by influenza viruses, more severe than common cold."
Osteoporosis,"severe bone fractures easily, loss of height, decreased mobility",Severe,"Bisphosphonates, calcium and vitamin D supplements, weight-bearing exercises, hormone therapy, fall prevention","Adequate calcium and vitamin D, weight-bearing exercise, avoid smoking and excessive alcohol, prevent falls","Bone disease causing bones to become brittle and fragile, increasing fracture risk, especially in older adults."
Gallstones,"jaundice, persistent pain after fatty meals, clay-colored stools",Severe,"Cholecystectomy (gallbladder removal), ursodiol to dissolve stones, pain management, low-fat diet","Low-fat diet, maintain healthy weight, avoid rapid weight loss, regular exercise, limit cholesterol","Hardened deposits in the gallbladder, can block bile ducts and cause severe pain and complications."
Dengue,"joint pain, worsening vomiting, severe headache, muscle pain, pain behind eyes",Severe,"Supportive care, acetaminophen, hydration, avoid NSAIDs, hospitalization if severe dengue","Avoid mosquito bites, use repellents, wear protective clothing, remove standing water, screen windows","Mosquito-borne viral infection causing fever and severe joint/muscle pain, can develop into severe dengue."
Hepatitis A,"occasional clay-colored stools, mild fatigue, abdominal pain, mild low-grade fever",Mild,"Rest, hydration, avoid alcohol, nutritious diet, monitor liver function, supportive care only","Hepatitis A vaccination, safe food and water practices, hand hygiene, avoid contaminated shellfish","Viral liver infection spread through contaminated food/water, usually self-limiting with lifelong immunity."
Malaria,"high fever, jaundice, vomiting, sweating",Severe,"Antimalarial drugs (artemisinin-based combination therapy), supportive care, fluids, treat complications","Mosquito nets, insect repellent, antimalarial prophylaxis, avoid mosquito bites, eliminate standing water","Mosquito-borne infectious disease caused by Plasmodium parasites, life-threatening if untreated."
Diabetes,"fatigue, unexplained weight loss, severe frequent urination, worsening blurred vision, slow healing wounds, excessive thirst, intense numbness in extremities",Severe,"Blood glucose monitoring, insulin or oral hypoglycemics, diet management, regular exercise, endocrinologist follow-up","Regular blood sugar monitoring, balanced diet, avoid sugary foods, regular exercise, foot care","Chronic condition affecting how the body processes blood sugar (glucose), Type 1 or Type 2."
Migraine,"sensitivity to light, nausea, worsening vomiting, intense throbbing pain, visual aura, intense severe headache",Severe,"Triptans, NSAIDs, anti-nausea medication, rest in dark quiet room, cold compress, avoid triggers","Identify and avoid triggers, maintain regular sleep schedule, stay hydrated, manage stress, limit caffeine","Neurological condition characterized by recurrent moderate to severe headaches, often with nausea and sensitivity."
Asthma,"shortness of breath, wheezing, coughing, difficulty breathing",Moderate,"Inhalers (bronchodilators, corticosteroids), nebulizer treatments, avoid triggers, peak flow monitoring","Avoid allergens and irritants, use air purifier, regular exercise (as tolerated), carry rescue inhaler","Chronic respiratory condition causing airway inflammation and constriction, leading to breathing difficulty."
Kidney Stones,"slight pain radiating to groin, burning urination, severe flank pain",Mild,"Pain relievers (NSAIDs), alpha-blockers (tamsulosin), increased fluids, lithotripsy if large, surgical removal if stuck","Drink 2-3 liters water daily, reduce sodium and oxalate intake, maintain healthy weight, limit protein","Hard mineral and salt deposits forming in kidneys, causing severe pain when passing through urinary tract."
Hepatitis A,"vomiting, occasional fatigue, occasional clay-colored stools",Mild,"Rest, hydration, avoid alcohol, nutritious diet, monitor liver function, supportive care only","Hepatitis A vaccination, safe food and water practices, hand hygiene, avoid contaminated shellfish","Viral liver infection spread through contaminated food/water, usually self-limiting with lifelong immunity."
Bronchitis,"occasional shortness of breath, mucus production, chest discomfort, persistent cough, fatigue",Mild,"Rest, fluids, expectorants, bronchodilators if wheezing, avoid smoke and irritants, antibiotics if bacterial","Avoid smoking and secondhand smoke, use humidifier, stay hydrated, avoid cold air, flu vaccination","Inflammation of the bronchial tubes causing cough and mucus production, acute or chronic."
Flu,"body aches, high fever, fatigue, weakness, headache",Moderate,"Rest, antiviral medications (oseltamivir if early), acetaminophen/ibuprofen, fluids, isolation","Annual flu vaccination, hand hygiene, avoid crowds during outbreaks, mask if coughing","Influenza is a contagious respiratory illness caused by influenza viruses, more severe than common cold."
Hepatitis A,"slight abdominal pain, nausea, mild vomiting, occasional dark urine, fatigue",Mild,"Rest, hydration, avoid alcohol, nutritious diet, monitor liver function, supportive care only","Hepatitis A vaccination, safe food and water practices, hand hygiene, avoid contaminated shellfish","Viral liver infection spread through contaminated food/water, usually self-limiting with lifelong immunity."
Gastroenteritis,"slight headache, occasional vomiting, occasional mild fever, nausea, slight diarrhea, loss of appetite",Mild,"Oral rehydration solution, rest, bland diet (BRAT), antiemetics if needed, antibiotics if bacterial","Hand washing, safe food preparation, drink clean water, avoid contaminated food, proper food storage","Inflammation of the stomach and intestines causing diarrhea and vomiting, often viral (stomach flu)."
COVID-19,"shortness of breath, muscle aches, fever, loss of taste, sore throat",Moderate,"Rest, isolation, monitoring oxygen levels, supportive care, seek medical attention if breathing difficulty","Vaccination, mask wearing, social distancing, hand hygiene, avoid crowded indoor spaces","Coronavirus disease caused by SARS-CoV-2, ranging from mild to severe respiratory illness."
Kidney Stones,"frequent urination, severe flank pain, blood in urine, pain radiating to groin",Moderate,"Pain relievers (NSAIDs), alpha-blockers (tamsulosin), increased fluids, lithotripsy if large, surgical removal if stuck","Drink 2-3 liters water daily, reduce sodium and oxalate intake, maintain healthy weight, limit protein","Hard mineral and salt deposits forming in kidneys, causing severe pain when passing through urinary tract."
Gallstones,"severe abdominal pain (upper right), extreme fever, vomiting, indigestion, clay-colored stools, persistent pain after fatty meals, jaundice",Severe,"Cholecystectomy (gallbladder removal), ursodiol to dissolve stones, pain management, low-fat diet","Low-fat diet, maintain healthy weight, avoid rapid weight loss, regular exercise, limit cholesterol","Hardened deposits in the gallbladder, can block bile ducts and cause severe pain and complications."
Hypothyroidism,"hair loss, weight gain, cold sensitivity, slow heart rate, constipation, slight muscle weakness",Mild,"Levothyroxine hormone replacement, regular TSH monitoring, adjust dosage, lifestyle modifications","Regular thyroid function tests, consistent medication timing, avoid excess iodine, balanced diet, regular exercise","Underactive thyroid gland producing insufficient thyroid hormones, affecting metabolism and energy levels."
Hepatitis C,"easy bruising, severe bleeding easily, jaundice, persistent fluid buildup in abdomen, confusion",Severe,"Direct-acting antivirals (sofosbuvir, glecaprevir), 8-12 week treatment, regular liver monitoring","Avoid sharing needles, safe sex practices, blood screening, no vaccine available, avoid alcohol","Viral infection causing liver inflammation, often chronic, now highly curable with modern antivirals."
Hyperthyroidism,"diarrhea, tremor, heat sensitivity",Moderate,"Antithyroid medications (methimazole), radioactive iodine, beta-blockers, thyroidectomy if necessary","Regular thyroid monitoring, avoid excess iodine, stress management, balanced diet, avoid stimulants","Overactive thyroid gland producing excessive thyroid hormones, accelerating metabolism."
Asthma,"rapid breathing, shortness of breath, wheezing",Moderate,"Inhalers (bronchodilators, corticosteroids), nebulizer treatments, avoid triggers, peak flow monitoring","Avoid allergens and irritants, use air purifier, regular exercise (as tolerated), carry rescue inhaler","Chronic respiratory condition causing airway inflammation and constriction, leading to breathing difficulty."
Anemia,"irregular heartbeat, weakness, pale skin, chest pain, dizziness, shortness of breath, fatigue",Moderate,"Iron supplements, vitamin B12 or folate, treat underlying cause, blood transfusion if severe, dietary changes","Iron-rich diet (red meat, leafy greens), vitamin C with iron meals, regular blood tests, treat underlying causes","Condition with insufficient healthy red blood cells or hemoglobin, leading to reduced oxygen delivery."
Osteoporosis,"stooped posture, shortness of breath, back pain, bone fractures easily",Moderate,"Bisphosphonates, calcium and vitamin D supplements, weight-bearing exercises, hormone therapy, fall prevention","Adequate calcium and vitamin D, weight-bearing exercise, avoid smoking and excessive alcohol, prevent falls","Bone disease causing bones to become brittle and fragile, increasing fracture risk, especially in older adults."
Pneumonia,"chills, productive cough, high fever, persistent rapid breathing, severe chest pain, shortness of breath, fatigue",Severe,"Antibiotics (if bacterial), oxygen therapy, rest, fluids, chest physiotherapy, hospitalization if severe","Pneumococcal vaccination, flu vaccination, hand hygiene, avoid smoking, strengthen immune system","Infection causing inflammation in the air sacs of the lungs, which may fill with fluid or pus."
Hypertension,"nosebleeds, dizziness, vision problems",Moderate,"ACE inhibitors, ARBs, calcium channel blockers, lifestyle changes, regular BP monitoring, reduce salt intake","Low sodium diet, regular exercise, weight management, limit alcohol, stress management, regular checkups",High blood pressure that can lead to severe health complications if not managed properly.
Osteoporosis,"loss of height, decreased mobility, shortness of breath, stooped posture",Moderate,"Bisphosphonates, calcium and vitamin D supplements, weight-bearing exercises, hormone therapy, fall prevention","Adequate calcium and vitamin D, weight-bearing exercise, avoid smoking and excessive alcohol, prevent falls","Bone disease causing bones to become brittle and fragile, increasing fracture risk, especially in older adults."
Urinary Tract Infection,"lower back pain, pelvic pain, frequent urination, burning during urination, urgent urination, blood in urine, fever",Moderate,"Antibiotics (nitrofurantoin, trimethoprim), increased water intake, cranberry juice, phenazopyridine for pain","Drink plenty of water, urinate after intercourse, wipe front to back, avoid irritating feminine products, cotton underwear","Infection in any part of the urinary system, more common in women, usually bacterial."
Asthma,"severe wheezing, coughing, shortness of breath, worsening difficulty breathing, severe rapid breathing",Severe,"Inhalers (bronchodilators, corticosteroids), nebulizer treatments, avoid triggers, peak flow monitoring","Avoid allergens and irritants, use air purifier, regular exercise (as tolerated), carry rescue inhaler","Chronic respiratory condition causing airway inflammation and constriction, leading to breathing difficulty."
Kidney Stones,"severe nausea, worsening frequent urination, worsening blood in urine, pain radiating to groin, fever",Severe,"Pain relievers (NSAIDs), alpha-blockers (tamsulosin), increased fluids, lithotripsy if large, surgical removal if stuck","Drink 2-3 liters water daily, reduce sodium and oxalate intake, maintain healthy weight, limit protein","Hard mineral and salt deposits forming in kidneys, causing severe pain when passing through urinary tract."
Osteoporosis,"severe loss of height, stooped posture, back pain",Severe,"Bisphosphonates, calcium and vitamin D supplements, weight-bearing exercises, hormone therapy, fall prevention","Adequate calcium and vitamin D, weight-bearing exercise, avoid smoking and excessive alcohol, prevent falls","Bone disease causing bones to become brittle and fragile, increasing fracture risk, especially in older adults."
Migraine,"severe visual aura, throbbing pain, nausea, sensitivity to light, severe sensitivity to sound, persistent vomiting",Severe,"Triptans, NSAIDs, anti-nausea medication, rest in dark quiet room, cold compress, avoid triggers","Identify and avoid triggers, maintain regular sleep schedule, stay hydrated, manage stress, limit caffeine","Neurological condition characterized by recurrent moderate to severe headaches, often with nausea and sensitivity."
Kidney Stones,"fever, severe flank pain, blood in urine, burning urination, nausea, pain radiating to groin, frequent urination",Moderate,"Pain relievers (NSAIDs), alpha-blockers (tamsulosin), increased fluids, lithotripsy if large, surgical removal if stuck","Drink 2-3 liters water daily, reduce sodium and oxalate intake, maintain healthy weight, limit protein","Hard mineral and salt deposits forming in kidneys, causing severe pain when passing through urinary tract."
Urinary Tract Infection,"cloudy urine, burning during urination, pelvic pain, urgent urination",Moderate,"Antibiotics (nitrofurantoin, trimethoprim), increased water intake, cranberry juice, phenazopyridine for pain","Drink plenty of water, urinate after intercourse, wipe front to back, avoid irritating feminine products, cotton underwear","Infection in any part of the urinary system, more common in women, usually bacterial."
Flu,"slight headache, mild fatigue, cough, occasional sore throat, body aches, occasional high fever, weakness",Mild,"Rest, antiviral medications (oseltamivir if early), acetaminophen/ibuprofen, fluids, isolation","Annual flu vaccination, hand hygiene, avoid crowds during outbreaks, mask if coughing","Influenza is a contagious respiratory illness caused by influenza viruses, more severe than common cold."
Flu,"sore throat, body aches, fatigue, severe chills, headache",Severe,"Rest, antiviral medications (oseltamivir if early), acetaminophen/ibuprofen, fluids, isolation","Annual flu vaccination, hand hygiene, avoid crowds during outbreaks, mask if coughing","Influenza is a contagious respiratory illness caused by influenza viruses, more severe than common cold."
Hepatitis C,"spider-like blood vessels, easy bruising, bleeding easily, jaundice, fluid buildup in abdomen, swelling in legs",Moderate,"Direct-acting antivirals (sofosbuvir, glecaprevir), 8-12 week treatment, regular liver monitoring","Avoid sharing needles, safe sex practices, blood screening, no vaccine available, avoid alcohol","Viral infection causing liver inflammation, often chronic, now highly curable with modern antivirals."
Common Cold,"extreme congestion, runny nose, headache, persistent cough, sneezing",Severe,"Rest, increased fluid intake, acetaminophen for fever, saline nasal spray, throat lozenges","Wash hands frequently, avoid close contact, use tissues, stay hydrated, get adequate rest","A viral infection of the upper respiratory tract, typically mild and self-limiting within 7-10 days."
Anemia,"dizziness, cold hands and feet, irregular heartbeat, shortness of breath, fatigue, pale skin, weakness",Moderate,"Iron supplements, vitamin B12 or folate, treat underlying cause, blood transfusion if severe, dietary changes","Iron-rich diet (red meat, leafy greens), vitamin C with iron meals, regular blood tests, treat underlying causes","Condition with insufficient healthy red blood cells or hemoglobin, leading to reduced oxygen delivery."
Tuberculosis,"blood in sputum, weight loss, persistent cough, fever, loss of appetite, night sweats, chest pain",Moderate,"Long-term antibiotics (isoniazid, rifampin, pyrazinamide, ethambutol), DOTS program, respiratory isolation","BCG vaccination, avoid close contact with infected, proper ventilation, mask wearing, complete treatment course","Bacterial infection primarily affecting the lungs, requiring prolonged antibiotic treatment."
Tuberculosis,"night sweats, weight loss, persistent cough, blood in sputum, intense fever, loss of appetite",Severe,"Long-term antibiotics (isoniazid, rifampin, pyrazinamide, ethambutol), DOTS program, respiratory isolation","BCG vaccination, avoid close contact with infected, proper ventilation, mask wearing, complete treatment course","Bacterial infection primarily affecting the lungs, requiring prolonged antibiotic treatment."
Arthritis,"fever, joint stiffness, warmth around joints, reduced range of motion, joint pain, fatigue, joint swelling",Moderate,"NSAIDs, DMARDs, corticosteroids, physical therapy, joint replacement surgery if severe, heat/cold therapy","Regular exercise, maintain healthy weight, joint protection techniques, anti-inflammatory diet, avoid smoking","Inflammation of one or more joints causing pain and stiffness, osteoarthritis or rheumatoid types."
Anxiety Disorder,"irritability, panic attacks, sleep disturbances, difficulty concentrating, restlessness, sweating",Moderate,"Cognitive behavioral therapy, SSRIs, benzodiazepines (short-term), relaxation techniques, mindfulness, regular exercise","Stress management, regular exercise, adequate sleep, limit caffeine and alcohol, breathing exercises, therapy","Mental health condition characterized by excessive and persistent worry, fear, and nervousness."
Food Poisoning,"headache, fever, slight dehydration, slight weakness",Mild,"Rest, oral rehydration, avoid solid food initially, gradual return to bland diet, seek care if severe","Proper food handling, cook meat thoroughly, refrigerate promptly, avoid cross-contamination, check expiry dates","Illness caused by eating contaminated food or drink, symptoms typically appear within hours to days."
Flu,"headache, fatigue, high fever, cough, mild body aches",Mild,"Rest, antiviral medications (oseltamivir if early), acetaminophen/ibuprofen, fluids, isolation","Annual flu vaccination, hand hygiene, avoid crowds during outbreaks, mask if coughing","Influenza is a contagious respiratory illness caused by influenza viruses, more severe than common cold."
Flu,"cough, high fever, chills, weakness, fatigue, headache, body aches",Moderate,"Rest, antiviral medications (oseltamivir if early), acetaminophen/ibuprofen, fluids, isolation","Annual flu vaccination, hand hygiene, avoid crowds during outbreaks, mask if coughing","Influenza is a contagious respiratory illness caused by influenza viruses, more severe than common cold."
Hepatitis C,"fatigue, spider-like blood vessels, bleeding easily, jaundice, confusion",Moderate,"Direct-acting antivirals (sofosbuvir, glecaprevir), 8-12 week treatment, regular liver monitoring","Avoid sharing needles, safe sex practices, blood screening, no vaccine available, avoid alcohol","Viral infection causing liver inflammation, often chronic, now highly curable with modern antivirals."
Flu,"weakness, fatigue, high fever, chills, body aches, cough, headache",Moderate,"Rest, antiviral medications (oseltamivir if early), acetaminophen/ibuprofen, fluids, isolation","Annual flu vaccination, hand hygiene, avoid crowds during outbreaks, mask if coughing","Influenza is a contagious respiratory illness caused by influenza viruses, more severe than common cold."
Malaria,"nausea, headache, jaundice, chills, fatigue",Moderate,"Antimalarial drugs (artemisinin-based combination therapy), supportive care, fluids, treat complications","Mosquito nets, insect repellent, antimalarial prophylaxis, avoid mosquito bites, eliminate standing water","Mosquito-borne infectious disease caused by Plasmodium parasites, life-threatening if untreated."
Gastroenteritis,"diarrhea, headache, nausea",Mild,"Oral rehydration solution, rest, bland diet (BRAT), antiemetics if needed, antibiotics if bacterial","Hand washing, safe food preparation, drink clean water, avoid contaminated food, proper food storage","Inflammation of the stomach and intestines causing diarrhea and vomiting, often viral (stomach flu)."
Urinary Tract Infection,"frequent urination, lower back pain, worsening fever",Severe,"Antibiotics (nitrofurantoin, trimethoprim), increased water intake, cranberry juice, phenazopyridine for pain","Drink plenty of water, urinate after intercourse, wipe front to back, avoid irritating feminine products, cotton underwear","Infection in any part of the urinary system, more common in women, usually bacterial."
Tuberculosis,"night sweats, fever, blood in sputum, occasional fatigue",Mild,"Long-term antibiotics (isoniazid, rifampin, pyrazinamide, ethambutol), DOTS program, respiratory isolation","BCG vaccination, avoid close contact with infected, proper ventilation, mask wearing, complete treatment course","Bacterial infection primarily affecting the lungs, requiring prolonged antibiotic treatment."
Hepatitis B,"slight fatigue, abdominal pain, nausea, jaundice, occasional loss of appetite, slight fever",Mild,"Antiviral medications (tenofovir, entecavir), regular monitoring, liver function tests, consider liver transplant if cirrhosis","Hepatitis B vaccination, safe sex practices, avoid sharing needles, screen blood products, regular liver checks","Viral liver infection transmitted through blood and bodily fluids, can become chronic and lead to cirrhosis."
Osteoporosis,"loss of height, back pain, bone fractures easily, decreased mobility, extreme shortness of breath",Severe,"Bisphosphonates, calcium and vitamin D supplements, weight-bearing exercises, hormone therapy, fall prevention","Adequate calcium and vitamin D, weight-bearing exercise, avoid smoking and excessive alcohol, prevent falls","Bone disease causing bones to become brittle and fragile, increasing fracture risk, especially in older adults."
Osteoporosis,"stooped posture, loss of height, shortness of breath, decreased mobility, bone fractures easily, back pain",Moderate,"Bisphosphonates, calcium and vitamin D supplements, weight-bearing exercises, hormone therapy, fall prevention","Adequate calcium and vitamin D, weight-bearing exercise, avoid smoking and excessive alcohol, prevent falls","Bone disease causing bones to become brittle and fragile, increasing fracture risk, especially in older adults."
Pneumonia,"chest pain, chills, high fever, confusion, fatigue",Moderate,"Antibiotics (if bacterial), oxygen therapy, rest, fluids, chest physiotherapy, hospitalization if severe","Pneumococcal vaccination, flu vaccination, hand hygiene, avoid smoking, strengthen immune system","Infection causing inflammation in the air sacs of the lungs, which may fill with fluid or pus."
Anxiety Disorder,"panic attacks, muscle tension, intense rapid heartbeat, persistent restlessness, sleep disturbances",Severe,"Cognitive behavioral therapy, SSRIs, benzodiazepines (short-term), relaxation techniques, mindfulness, regular exercise","Stress management, regular exercise, adequate sleep, limit caffeine and alcohol, breathing exercises, therapy","Mental health condition characterized by excessive and persistent worry, fear, and nervousness."
Jaundice,"dark urine, pale stools, yellow eyes, itching",Severe,"Treat underlying cause, phototherapy for newborns, medications, liver transplant if severe liver failure","Hepatitis vaccination, avoid alcohol, maintain healthy weight, avoid hepatotoxic medications, regular liver tests","Yellow discoloration of skin and eyes caused by high bilirubin levels, a symptom of underlying liver or blood disorder."
Food Poisoning,"diarrhea, nausea, fever, vomiting, occasional weakness, occasional stomach cramps, headache",Mild,"Rest, oral rehydration, avoid solid food initially, gradual return to bland diet, seek care if severe","Proper food handling, cook meat thoroughly, refrigerate promptly, avoid cross-contamination, check expiry dates","Illness caused by eating contaminated food or drink, symptoms typically appear within hours to days."
COVID-19,"sore throat, persistent fatigue, shortness of breath",Severe,"Rest, isolation, monitoring oxygen levels, supportive care, seek medical attention if breathing difficulty","Vaccination, mask wearing, social distancing, hand hygiene, avoid crowded indoor spaces","Coronavirus disease caused by SARS-CoV-2, ranging from mild to severe respiratory illness."
Hepatitis A,"jaundice, clay-colored stools, vomiting",Moderate,"Rest, hydration, avoid alcohol, nutritious diet, monitor liver function, supportive care only","Hepatitis A vaccination, safe food and water practices, hand hygiene, avoid contaminated shellfish","Viral liver infection spread through contaminated food/water, usually self-limiting with lifelong immunity."
Urinary Tract Infection,"cloudy urine, urgent urination, fever, blood in urine, pelvic pain",Moderate,"Antibiotics (nitrofurantoin, trimethoprim), increased water intake, cranberry juice, phenazopyridine for pain","Drink plenty of water, urinate after intercourse, wipe front to back, avoid irritating feminine products, cotton underwear","Infection in any part of the urinary system, more common in women, usually bacterial."
Jaundice,"slight pale stools, confusion, slight itching, abdominal pain, dark urine, weight loss",Mild,"Treat underlying cause, phototherapy for newborns, medications, liver transplant if severe liver failure","Hepatitis vaccination, avoid alcohol, maintain healthy weight, avoid hepatotoxic medications, regular liver tests","Yellow discoloration of skin and eyes caused by high bilirubin levels, a symptom of underlying liver or blood disorder."
Flu,"extreme chills, headache, sore throat, worsening weakness",Severe,"Rest, antiviral medications (oseltamivir if early), acetaminophen/ibuprofen, fluids, isolation","Annual flu vaccination, hand hygiene, avoid crowds during outbreaks, mask if coughing","Influenza is a contagious respiratory illness caused by influenza viruses, more severe than common cold."
Asthma,"rapid breathing, chest tightness, wheezing, difficulty breathing, shortness of breath, coughing",Moderate,"Inhalers (bronchodilators, corticosteroids), nebulizer treatments, avoid triggers, peak flow monitoring","Avoid allergens and irritants, use air purifier, regular exercise (as tolerated), carry rescue inhaler","Chronic respiratory condition causing airway inflammation and constriction, leading to breathing difficulty."
Anxiety Disorder,"extreme sleep disturbances, excessive worry, rapid heartbeat, intense restlessness, difficulty concentrating, persistent irritability, sweating",Severe,"Cognitive behavioral therapy, SSRIs, benzodiazepines (short-term), relaxation techniques, mindfulness, regular exercise","Stress management, regular exercise, adequate sleep, limit caffeine and alcohol, breathing exercises, therapy","Mental health condition characterized by excessive and persistent worry, fear, and nervousness."
Hypertension,"chest pain, dizziness, shortness of breath, vision problems, headache, flushing",Moderate,"ACE inhibitors, ARBs, calcium channel blockers, lifestyle changes, regular BP monitoring, reduce salt intake","Low sodium diet, regular exercise, weight management, limit alcohol, stress management, regular checkups",High blood pressure that can lead to severe health complications if not managed properly.
Hypertension,"nosebleeds, dizziness, headache, vision problems",Moderate,"ACE inhibitors, ARBs, calcium channel blockers, lifestyle changes, regular BP monitoring, reduce salt intake","Low sodium diet, regular exercise, weight management, limit alcohol, stress management, regular checkups",High blood pressure that can lead to severe health complications if not managed properly.
COVID-19,"fatigue, slight loss of smell, loss of taste, slight dry cough, muscle aches, fever, sore throat",Mild,"Rest, isolation, monitoring oxygen levels, supportive care, seek medical attention if breathing difficulty","Vaccination, mask wearing, social distancing, hand hygiene, avoid crowded indoor spaces","Coronavirus disease caused by SARS-CoV-2, ranging from mild to severe respiratory illness."
Hyperthyroidism,"heat sensitivity, tremor, difficulty sleeping, bulging eyes, weight loss, rapid heartbeat",Moderate,"Antithyroid medications (methimazole), radioactive iodine, beta-blockers, thyroidectomy if necessary","Regular thyroid monitoring, avoid excess iodine, stress management, balanced diet, avoid stimulants","Overactive thyroid gland producing excessive thyroid hormones, accelerating metabolism."
Pneumonia,"confusion, productive cough, fatigue",Severe,"Antibiotics (if bacterial), oxygen therapy, rest, fluids, chest physiotherapy, hospitalization if severe","Pneumococcal vaccination, flu vaccination, hand hygiene, avoid smoking, strengthen immune system","Infection causing inflammation in the air sacs of the lungs, which may fill with fluid or pus."
COVID-19,"fatigue, loss of smell, fever, muscle aches, sore throat",Severe,"Rest, isolation, monitoring oxygen levels, supportive care, seek medical attention if breathing difficulty","Vaccination, mask wearing, social distancing, hand hygiene, avoid crowded indoor spaces","Coronavirus disease caused by SARS-CoV-2, ranging from mild to severe respiratory illness."
